name,energy,group,prot
авокадо,160.0,ов,2.0
базилік,23.0,ов,3.15
баклажани,25.0,ов,0.98
банани,89.0,фр,1.09
борошно кукурудзяне,361.0,зер,6.93
борошно пшеинчне (сильне),361.0,зер,11.98
борошно цільнозернове,332.0,зер,9.61
броколі,34.0,ов,2.82
булка біла,274.0,зер,10.67
буряк,43.0,ов,1.61
гарбузове насіння,559.0,нас,30.23
гречка варена,92.0,зер,3.38
гриби,22.0,гр,3.09
гірчиця,60.0,прип,3.74
джем лимонний,278.0,сол,0.37
джин,231.0,алк,0.0
дріжджі харчові,325.0,прип,40.44
кабачок,17.0,ов,1.21
кавун,30.0,фр,0.61
капуста,25.0,ов,1.28
картопля сира,77.0,ов,2.05
картопля смажена,172.0,ов,2.66
квасоля біла консерва,78.0,боб,7.07
квасоля стручкова,39.0,боб,1.79
квасолі сирі свіжі,67.0,боб,6.15
квасолі червоні консервовані,121.0,боб,8.12
кетчуп,101.0,прип,1.04
кешю,553.0,гор,18.22
кмин,333.0,прип,19.77
кориця,247.0,прип,3.99
кукурудзи,86.0,зер,3.27
кунжут,565.0,нас,16.96
лаваш,275.0,зер,9.1
майонез веганський,232.0,прип,0.3
малина,52.0,фр,1.2
морква,41.0,ов,0.93
насіння соняшника,584.0,нас,20.78
огірки мариновані,12.0,ов,0.5
огірок,12.0,ов,0.59
оливи зелені без кісточки,115.0,ов,0.84
олія оливкова,884.0,ол,0.0
олія соняшникова,884.0,ол,0.0
оцет,19.0,прип,0.04
оцет бальзамічний,88.0,прип,0.49
паста арахісова,598.0,боб,22.21
паста томатна,82.0,прип,4.32
перець солодкий,31.0,ов,0.99
перець чорний,251.0,прип,10.39
песто,418.0,прип,9.83
пиво,29.0,алк,0.24
пиво міцне,58.0,алк,0.9
полуниці,32.0,фр,0.67
помідори,18.0,ов,0.88
помідори косервовані,16.0,ов,0.79
порей,61.0,ов,1.5
салат,17.0,ов,1.23
сироп,318.0,сол,6.2
сливи,46.0,фр,0.7
сосиски сейтанові,370.0,зер,75.16
сочевиця,352.0,боб,24.63
соєвий соус,53.0,боб,8.14
сухарики,465.0,зер,10.8
сік лайма,25.0,фр,0.42
сіль,0.0,прип,0.0
тонік,34.0,сол,0.0
тофу,145.0,боб,12.68
фундук,628.0,гор,14.95
хліб білий,238.0,зер,10.66
хліб гречаний,335.0,зер,12.62
хлібці,288.0,зер,14.52
хумус,166.0,боб,7.9
цибуля зелена,32.0,ов,1.83
цибуля синя,40.0,ов,1.1
цукор,387.0,сол,0.0
часник,149.0,ов,6.36
чипси,532.0,ов,6.39
м'ясо,160, ,21
